,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
3342,生产调度员,吉林玲珑轮胎有限公司,"[4.0, 7.0, 5.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""大专""",4.0,7.0,5.5
3343,会计,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3344,机械设备员,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3345,生产调度员,吉林玲珑轮胎有限公司,"[4.0, 8.0, 6.0]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""大专""",4.0,8.0,6.0
3346,电气设备员,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3347,安全员,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""大专""",5.0,10.0,7.5
3348,设备保全,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3349,新产品试制,吉林玲珑轮胎有限公司,"[6.0, 10.0, 8.0]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",6.0,10.0,8.0
3350,硫化工艺,吉林玲珑轮胎有限公司,"[6.0, 10.0, 8.0]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",6.0,10.0,8.0
3351,数控车工,吉林省方舟电子科技有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,民营公司,50-150人,['汽车'],"['五险一金', '免费班车', '年终奖金', '周末双休', '包三餐', '全勤奖']","""中专""",5.0,7.0,6.0
3352,聘请医疗设备销售经理,长春市国兴医疗设备有限公司,"[5.0, 7.0, 6.0]",长春-南关区,合资,少于50人,"['医疗设备', '器械']","['弹性工作', '绩效奖金', '年终奖金', '员工旅游', '定期体检', '五险']","""大专""",5.0,7.0,6.0
3353,网络主播,吉林省心之力健康管理有限公司,"[7.0, 10.0, 8.5]",长春-南关区,民营公司,少于50人,['多元化业务集团公司'],"['绩效奖金', '股票期权']","""大专""",7.0,10.0,8.5
3354,招商部经理,吉林省心之力健康管理有限公司,"[7.0, 10.0, 8.5]",长春-南关区,民营公司,少于50人,['多元化业务集团公司'],"['绩效奖金', '股票期权']","""3-4年经验""",7.0,10.0,8.5
3355,销售经理,吉林省融澳科技有限公司,"[10.0, 12.0, 11.0]",长春,民营公司,,['计算机软件'],[''],"""高中""",10.0,12.0,11.0
3356,物业经理（长春）,盈石企业管理（成都）有限公司,"[12.0, 24.0, 18.0]",长春,合资,少于50人,['专业服务(咨询、人力资源、财会)'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '补充公积金', '员工旅游', '年终奖金']","""本科""",12.0,24.0,18.0
3357,项目总（长春）,盈石企业管理（成都）有限公司,"[24.0, 36.0, 30.0]",长春,合资,少于50人,['专业服务(咨询、人力资源、财会)'],"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '补充公积金', '员工旅游', '年终奖金']","""本科""",24.0,36.0,30.0
3358,基础技术管理,吉林玲珑轮胎有限公司,"[5.0, 7.0, 6.0]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,7.0,6.0
3359,压出压延工艺,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3360,密炼工艺,吉林玲珑轮胎有限公司,"[6.0, 10.0, 8.0]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",6.0,10.0,8.0
3361,生产计划,吉林玲珑轮胎有限公司,"[5.0, 8.0, 6.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""大专""",5.0,8.0,6.5
3362,10新房置业销售,贝壳找房·长春站,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['弹性工作', '住宿补助', '绩效奖金', '带薪年假', '透明晋升']","""大专""",10.0,12.0,11.0
3363,售前客服（4K+）,辽宁诺盾科技有限公司吉林省分公司,"[3.0, 7.0, 5.0]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['做五休二', '周末双休', '带薪年假', '专业培训', '节日福利', '绩效奖金', '加班补贴']","""大专""",3.0,7.0,5.0
3364,员工关系专员,吉林玲珑轮胎有限公司,"[5.0, 10.0, 7.5]",长春-汽车产业开发区,民营公司,1000-5000人,"['石油', '化工', '矿产', '地质']","['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""本科""",5.0,10.0,7.5
3365,长春德邦招聘销售经理,德邦快递,"[6.0, 12.0, 9.0]",长春-宽城区,民营公司,,"['交通', '运输', '物流']","['带薪年假', '全勤奖', '节日福利', '专业培训', '弹性工作']","""大专""",6.0,12.0,9.0
3366,17 贝壳直聘签约经理\六险一金,贝壳找房·长春站,"[8.0, 12.0, 10.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""本科""",8.0,12.0,10.0
3367,17 新房直销\入职五险一金,贝壳找房·长春站,"[6.0, 12.0, 9.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专""",6.0,12.0,9.0
3368,销售专员,长春市慧鑫康医疗科技有限公司,"[4.0, 10.0, 7.0]",长春-二道区,民营公司,50-150人,"['医疗设备', '器械']","['带薪年假', '节日福利', '全勤奖', '六天休息']","""大专""",4.0,10.0,7.0
3369,17 新房直销\入职六险一金\二道区,贝壳找房·长春站,"[6.0, 12.0, 9.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专""",6.0,12.0,9.0
3370,07贝壳直招签约经理，六险二金，7K-10K,贝壳找房·长春站,"[8.0, 12.0, 10.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '绩效奖金', '节日福利', '弹性工作', '五险一金', '带薪年假']","""本科""",8.0,12.0,10.0
3371,17 贝壳直聘签约经理\六险一金,贝壳找房·长春站,"[8.0, 12.0, 10.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""本科""",8.0,12.0,10.0
3372,17 贝壳直聘销售代表\六险一金\二道区,贝壳找房·长春站,"[6.0, 12.0, 9.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专""",6.0,12.0,9.0
3373,诚聘医疗器械区域业务代表,长春市国兴医疗设备有限公司,"[5.0, 7.0, 6.0]",长春-南关区,合资,少于50人,"['医疗设备', '器械']","['弹性工作', '绩效奖金', '年终奖金', '员工旅游', '定期体检', '五险']","""大专""",5.0,7.0,6.0
3374,行政专员,吉林省同心健康管理有限责任公司,"[4.0, 6.0, 5.0]",长春-南关区,民营公司,50-150人,"['医疗', '护理', '卫生']",['绩效奖金'],"""本科""",4.0,6.0,5.0
3375,财务主管,吉林省同心健康管理有限责任公司,"[7.0, 10.0, 8.5]",长春-南关区,民营公司,50-150人,"['医疗', '护理', '卫生']",['绩效奖金'],"""本科""",7.0,10.0,8.5
3376,会计,吉林省同心健康管理有限责任公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,50-150人,"['医疗', '护理', '卫生']",['绩效奖金'],"""本科""",5.0,7.0,6.0
3377,办公室文员 行政文员,长春红星医院有限公司,"[4.0, 6.0, 5.0]",长春-朝阳区,民营公司,50-150人,"['医疗', '护理', '卫生']",[''],"""大专""",4.0,6.0,5.0
3378,能源经理（长春）,南京天溯自动化控制系统有限公司,"[12.0, 18.0, 15.0]",长春,合资,,"['仪器仪表', '工业自动化']",[''],"""本科""",12.0,18.0,15.0
3379,理财顾问,开源证券股份有限公司吉林分公司,"[7.0, 10.0, 8.5]",长春-南关区,国企,5000-10000人,"['金融', '投资', '证券']","['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""大专""",7.0,10.0,8.5
3380,18贝壳签约金融经理,贝壳找房·长春站,"[8.0, 12.0, 10.0]",长春-二道区,民营公司,10000人以上,['房地产'],[''],"""本科""",8.0,12.0,10.0
3381,骑士,长春市奔跑兔商贸有限公司,"[10.0, 12.0, 11.0]",长春-高新技术产业开发区,民营公司,50-150人,['餐饮业'],[''],"""初中及以下""",10.0,12.0,11.0
3382,市场开发储备经理-各中心城市（长春）,北京千喜鹤餐饮管理有限公司,"[7.0, 10.0, 8.5]",长春,民营公司,,['餐饮业'],[''],"""本科""",7.0,10.0,8.5
3383,区域总经理助理-各中心城市（长春）,北京千喜鹤餐饮管理有限公司,"[7.0, 10.0, 8.5]",长春,民营公司,,['餐饮业'],[''],"""本科""",7.0,10.0,8.5
3384,搜狗实习生销售,搜狗网络服务中心,"[6.0, 10.0, 8.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专""",6.0,10.0,8.0
3385,店长,吉林省华硒堂生物科技有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,少于50人,['生活服务'],[''],"""中专""",5.0,7.0,6.0
3386,理疗师,吉林省华硒堂生物科技有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,少于50人,['生活服务'],[''],"""中专""",5.0,7.0,6.0
3387,18贝壳大平台\高薪销售代表\房产经纪人,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,10000人以上,['房地产'],[''],"""大专""",5.0,7.0,6.0
3388,办公室文员（2021届校园招聘）,重庆医药（集团）股份有限公司,"[5.0, 7.0, 6.0]",长春,国企,,"['制药', '生物工程']",[''],"""大专""",5.0,7.0,6.0
3389,审计管理员（2021届校园招聘）,重庆医药（集团）股份有限公司,"[5.0, 7.0, 6.0]",长春,国企,,"['制药', '生物工程']",[''],"""大专""",5.0,7.0,6.0
3390,安技环保技术员（长春）,西安西电光电缆有限责任公司,"[5.0, 7.0, 6.0]",长春,国企,,"['机械', '设备', '重工']",[''],"""本科""",5.0,7.0,6.0
3391,18新房销售\六险一金\管培生,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,10000人以上,['房地产'],[''],"""大专""",5.0,7.0,6.0
3392,18贝壳新房销售\五险一金\高薪提成,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,10000人以上,['房地产'],[''],"""大专""",5.0,7.0,6.0
3393,校长助理,长水教育集团-云南衡水实验中学,"[30.0, 36.0, 33.0]",长春,民营公司,,"['教育', '培训', '院校']",[''],"""硕士""",30.0,36.0,33.0
3394,客户经理（长春）,南京天溯自动化控制系统有限公司,"[12.0, 18.0, 15.0]",长春,合资,,"['仪器仪表', '工业自动化']",[''],"""本科""",12.0,18.0,15.0
3395,解决方案经理（长春）,南京天溯自动化控制系统有限公司,"[12.0, 18.0, 15.0]",长春,合资,,"['仪器仪表', '工业自动化']",[''],"""本科""",12.0,18.0,15.0
3396,礼宾员,长春香格里拉大酒店有限公司,"[2.0, 4.0, 3.0]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""中专""",2.0,4.0,3.0
3397,餐饮主管,长春香格里拉大酒店有限公司,"[4.0, 5.0, 4.5]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""中专""",4.0,5.0,4.5
3398,宴会销售经理,长春香格里拉大酒店有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""大专""",5.0,7.0,6.0
3399,高级销售经理,长春香格里拉大酒店有限公司,"[10.0, 12.0, 11.0]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""大专""",10.0,12.0,11.0
3400,前台主管,长春香格里拉大酒店有限公司,"[5.0, 7.0, 6.0]",长春-朝阳区,外资（非欧美）,150-500人,"['酒店', '旅游']",[''],"""大专""",5.0,7.0,6.0
3401,15房产销售顾问,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春,民营公司,10000人以上,['房地产'],"['专业培训', '绩效奖金', '节日福利', '弹性工作']","""大专""",7.0,10.0,8.5
3402,实习技术员（长春）,安费诺金事达电子系统（白城）有限公司,"[4.0, 5.0, 4.5]",长春,外资（欧美）,,['汽车零配件'],[''],"""本科""",4.0,5.0,4.5
3403,初高中数学教师+双休+高薪+五险一金(J17868),长春学大教育培训学校,"[7.0, 10.0, 8.5]",长春-南关区,民营公司,500-1000人,"['教育', '培训', '院校']","['五险一金', '定期体检', '带薪年假']","""本科""",7.0,10.0,8.5
3404,15实习生\二手房经纪人\底薪2500,贝壳找房·长春站,"[4.0, 5.0, 4.5]",长春,民营公司,10000人以上,['房地产'],"['弹性工作', '专业培训', '节日福利', '绩效奖金']","""大专""",4.0,5.0,4.5
3405,技术支持工程师（吉林省）,美康生物科技股份有限公司,"[5.0, 7.0, 6.0]",长春,上市公司,,"['制药', '生物工程']",[''],"""大专""",5.0,7.0,6.0
3406,售后服务工程师（长春）,江苏金智教育信息股份有限公司,"[7.0, 10.0, 8.5]",长春,上市公司,,['计算机软件'],[''],"""大专""",7.0,10.0,8.5
3407,软件实施工程师（长春）,江苏金智教育信息股份有限公司,"[7.0, 10.0, 8.5]",长春,上市公司,,['计算机软件'],[''],"""大专""",7.0,10.0,8.5
3408,成人内分泌医药代表（上海）（长春）,长春金赛药业有限责任公司,"[7.0, 10.0, 8.5]",长春,国企,,"['制药', '生物工程']",[''],"""本科""",7.0,10.0,8.5
3409,医药代表(长沙),长春金赛药业有限责任公司,"[7.0, 10.0, 8.5]",长春,国企,,"['制药', '生物工程']",[''],"""大专""",7.0,10.0,8.5
3410,建筑智能化工程师（长春）,中国电子系统工程第二建设有限公司,"[12.0, 18.0, 15.0]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""硕士""",12.0,18.0,15.0
3411,管道设计师（长春）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""硕士""",7.0,10.0,8.5
3412,电气设计师（长春）,中国电子系统工程第二建设有限公司,"[12.0, 18.0, 15.0]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""硕士""",12.0,18.0,15.0
3413,工程管理（长春）,中国电子系统工程第二建设有限公司,"[12.0, 18.0, 15.0]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",12.0,18.0,15.0
3414,管道工程师（长春）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
3415,电气工程师（长春）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",长春,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
3416,人事行政实习生,郑州欧冠企业管理咨询有限公司,"[2.0, 4.0, 3.0]",长春,民营公司,,['专业服务(咨询、人力资源、财会)'],[''],"""高中""",2.0,4.0,3.0
3417,行政前台+五险一金+带薪年假,长春学大教育培训学校,"[2.0, 4.0, 3.0]",长春-南关区,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '带薪年假', '节假日福利']","""大专""",2.0,4.0,3.0
3418,外呼专员+五险一金+带薪培训+高额提成,长春学大教育培训学校,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""大专""",5.0,7.0,6.0
3419,课销\咨询\招生+五险一金+高额提成+带薪年假(J17269),长春学大教育培训学校,"[7.0, 10.0, 8.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '定期团建', '直线晋升']","""大专""",7.0,10.0,8.5
