工程监理,长春市鼎毅网络工程有限公司,5-7,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
基站维护工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
电信\通信技术支持,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
双休+CAD设计工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
有线无线传输工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
公司直招通信设备工程师助理,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
供住实习CAD技术员,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
移动通信基站测试,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
可实习设备调试工程师,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
线路工程设计师+五险一金,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""本科"""
通信技术助理,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
服务平台专员,华为手机营销项目-2018,8-12,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴']","""本科"""
服务体验顾问,华为手机营销项目-2018,5-7,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴']","""大专"""
服务体验顾问,华为手机营销项目-2018,5-7,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴']","""本科"""
大店BM,华为手机营销项目-2018,8-12,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴']","""大专"""
体验店顾问,华为手机营销项目-2018,6-8,异地招聘,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴']","""大专"""
BM,华为手机营销项目-2018,7-12,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '通讯补贴', '交通补贴', '员工旅游', '补充医疗保险', '定期体检']","""本科"""
市场代表,华为手机营销项目-2018,7-12,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '定期体检', '绩效奖金', '年终奖金', '通讯补贴', '交通补贴', '专业培训', '节日福利', '带薪年假']","""本科"""
零售代表,华为手机营销项目-2018,5-7,异地招聘,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '通讯补贴', '交通补贴', '员工旅游', '补充医疗保险', '定期体检']","""大专"""
体验店顾问,华为手机营销项目-2018,7-12,异地招聘,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '通讯补贴', '交通补贴', '员工旅游', '补充医疗保险', '定期体检']","""本科"""
体验顾问,华为手机营销项目-2018,7-10,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '通讯补贴', '交通补贴', '员工旅游', '补充医疗保险', '定期体检']","""本科"""
督导,华为手机营销项目-2018,5-8,长春,上市公司,5000-10000人,通信\电信运营、增值服务,"['五险一金', '补充医疗保险', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '交通补贴']","""高中"""
安全员（钢构公司）,南通三建股份公司（建筑）,8-12,长春,民营公司,5000-10000人,建筑\建材\工程,"['餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '定期体检', '高温补贴', '节日礼金', '生日礼金', '五险一金']","""大专"""
销售代表（东北省区）,云南白药集团股份有限公司,5-7,长春,国企,5000-10000人,制药\生物工程,['五险一金'],"""本科"""
服务技师\工程师-工业-长春,上海宏信建设发展有限公司,6-12,长春,合资,5000-10000人,建筑\建材\工程,"['五险一金', '周末双休', '带薪年假', '餐饮补贴', '绩效奖金', '通讯补贴', '节日福利', '高温补贴', '定期体检']","""大专"""
维修技师-周转-长春,上海宏信建设发展有限公司,7-10,长春,合资,5000-10000人,建筑\建材\工程,"['五险一金', '周末双休', '带薪年假', '餐饮补贴', '绩效奖金', '通讯补贴', '节日福利', '高温补贴', '定期体检']","""中专"""
销售代表,郑州永三网络科技有限公司,18-24,长春-朝阳区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
大客户销售代表,郑州永三网络科技有限公司,12-18,长春-朝阳区,民营公司,50-150人,互联网\电子商务,[''],"""大专"""
植保技术专员,绿友机械集团股份有限公司,4-7,长春-南关区,民营公司,500-1000人,机械\设备\重工,"['五险一金', '定期体检', '交通补贴']","""大专"""
自动化电气数控技术专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
直招硬件工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
普工\操作工,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
诚聘工程资料员,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
公司直招外市电,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
CAD设计+可实习,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
急招无线设计师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
5G网络覆盖工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
移动通信基站测试,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
直招设备调试工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
机械CAD制图专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招5G运维工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招有线无线传输工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
项目助理3500+双休,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
直招通信技术设计专员,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
4K起5G测试工程师,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
操作工\普工（可实习）,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""中专"""
5G移动通信工程师助理,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
项目管理\现场监理,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
企业直招5G新基建实习生,长春市鼎毅网络工程有限公司,2-4,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
五险+CAD设计\制图,长春市鼎毅网络工程有限公司,4-5,长春-南关区,上市公司,150-500人,通信\电信\网络设备,"['五险一金', '专业培训', '年终奖金', '提供住宿', '周末双休', '法定节假日']","""大专"""
